"",Jamiat-ul-Mujahideen,J&K_ Liberation_Front,Harkat-ul-Jehad-al-Islami,Al_Qaida,Tehrik-ul-Mujahideen,Hizbul_Mujahideen,Lashkar-e-Jabbar,Kul_Jamaat_Hurriyat_Conference,Al_Badr,Sipah-e-Sahaba,International_Sikh_Youth_Federation,Taliban,Tableegh-ul-Jamaat,J&K_Jamiat-e-Islami,D-Company,Muttahida_Majlis-e-Amal,Lashkar-e-Tayyiba,Awami_Action_Committee
Jamiat-ul-Mujahideen,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
J&K_ Liberation_Front,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Harkat-ul-Jehad-al-Islami,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al_Qaida,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
Tehrik-ul-Mujahideen,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hizbul_Mujahideen,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lashkar-e-Jabbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kul_Jamaat_Hurriyat_Conference,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Al_Badr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sipah-e-Sahaba,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International_Sikh_Youth_Federation,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Taliban,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tableegh-ul-Jamaat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J&K_Jamiat-e-Islami,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
D-Company,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muttahida_Majlis-e-Amal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lashkar-e-Tayyiba,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awami_Action_Committee,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
