"",J&K_Islamic_Front,Jamiat-ul-Mujahideen,Ummah_Tameer-e-Mujahideen,Muslim_Mujahideen,J&K_ Liberation_Front,Al_Barq,Liberation Tigers of Tamil Eelam,Harkat-ul-Jehad-al-Islami,Al_Qaida,Muttahida_Jihad_Council,Jaish-e-Mohammad,Harkat-ul-Ansar,J&K_Democratic_Freedom_Party,Tehrik-ul-Mujahideen,Hizbul_Mujahideen,Lashkar-e-Jabbar,Kul_Jamaat_Hurriyat_Conference,Inter_Service_Intelligence,Students Islamic Movement of India,Al_Badr,Tehrik-e-Jihad Islami,Sipah-e-Sahaba,International_Sikh_Youth_Federation,Taliban,Tableegh-ul-Jamaat
J&K_Islamic_Front,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Jamiat-ul-Mujahideen,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Ummah_Tameer-e-Mujahideen,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0
Muslim_Mujahideen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
J&K_ Liberation_Front,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Al_Barq,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Liberation Tigers of Tamil Eelam,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Harkat-ul-Jehad-al-Islami,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1
Al_Qaida,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Muttahida_Jihad_Council,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jaish-e-Mohammad,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Harkat-ul-Ansar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
J&K_Democratic_Freedom_Party,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Tehrik-ul-Mujahideen,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
Hizbul_Mujahideen,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Lashkar-e-Jabbar,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kul_Jamaat_Hurriyat_Conference,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Inter_Service_Intelligence,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Students Islamic Movement of India,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Al_Badr,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
Tehrik-e-Jihad Islami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sipah-e-Sahaba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International_Sikh_Youth_Federation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taliban,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Tableegh-ul-Jamaat,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
